"dist_93","dist_76","dist_3","dist_62","dist_18","pseudo_2","pseudo_11","pseudo_4","ss_5","pseudo_15","pseudo_20","pseudo_6","pseudo_13","dist_16","pseudo_16","dist_17","dist_47","dist_2","pseudo_14","dist_75","pseudo_1","comp_16","dipep_211","pseudo_10","tran_18","pseudo_3","dist_1","aac_2","dist_77","dist_78","dist_72","ss_1","dist_91","pseudo_7","pseudo_9","dipep_48","dipep_31","aac_3","dist_29","dist_40","aac_13","dist_10","Output"
21.05263158,10.52631579,5.263157895,5.263157895,10.52631579,0.524838814,0,0.524838814,0.263157895,0.524838814,0.524838814,0,0,5.263157895,1.049677628,15.78947368,5.263157895,21.05263158,1.574516441,78.94736842,0,15.78947368,0,0,0.388888889,0.524838814,10.52631579,0.052631579,5.263157895,21.05263158,78.94736842,0,5.263157895,0.524838814,0,0.055555556,0,0.052631579,89.47368421,63.15789474,0,78.94736842,1
21.05263158,10.52631579,5.263157895,5.263157895,36.84210526,0,0.572017578,0.572017578,0.210526316,0.572017578,0,0,0,5.263157895,1.716052733,15.78947368,5.263157895,10.52631579,0,78.94736842,0.572017578,15.78947368,0,0,0.444444444,1.144035155,15.78947368,0,5.263157895,15.78947368,78.94736842,0,5.263157895,0,0,0.055555556,0,0.105263158,89.47368421,52.63157895,0,89.47368421,1
10,25,5,5,15,0,1.374156583,0,0.2,0.687078291,0.687078291,0.687078291,0,5,0.687078291,25,5,10,0.687078291,85,0,15,0,0.687078291,0.105263158,0,85,0,5,30,85,0,5,0,0,0,0,0,95,70,0,85,1
23.80952381,14.28571429,28.57142857,4.761904762,23.80952381,0,0,0,0.238095238,1.128233296,1.128233296,0.564116648,0,4.761904762,0.564116648,28.57142857,28.57142857,4.761904762,1.128233296,38.0952381,0.564116648,14.28571429,0,1.128233296,0.5,0,38.0952381,0,28.57142857,4.761904762,38.0952381,0,4.761904762,0,0.564116648,0,0,0,80.95238095,80.95238095,0,38.0952381,1
13.63636364,9.090909091,4.545454545,4.545454545,18.18181818,0,0,0,0.136363636,0.590494263,0,0,0,9.090909091,1.771482788,4.545454545,4.545454545,9.090909091,1.180988525,0,1.180988525,18.18181818,0,1.180988525,0.285714286,0.590494263,18.18181818,0,4.545454545,13.63636364,0,0,4.545454545,0,0,0,0,0.045454545,81.81818182,77.27272727,0,59.09090909,1
29.16666667,20.83333333,16.66666667,4.166666667,25,0,1.182365235,0,0.25,0,0.591182618,0.591182618,0.591182618,4.166666667,0.591182618,8.333333333,8.333333333,4.166666667,1.182365235,45.83333333,0,29.16666667,0,0.591182618,0.173913043,1.773547853,8.333333333,0,16.66666667,4.166666667,45.83333333,0.063405797,4.166666667,0.591182618,0.591182618,0.043478261,0,0.125,83.33333333,83.33333333,0.041666667,54.16666667,1
12.5,16.66666667,20.83333333,4.166666667,16.66666667,0.524984151,0,0,0.208333333,0.524984151,1.049968303,0,0,4.166666667,1.574952454,8.333333333,8.333333333,4.166666667,0,0,2.624920757,37.5,0,0.524984151,0.173913043,0.524984151,8.333333333,0.041666667,20.83333333,4.166666667,0,0.018115942,4.166666667,0.524984151,0.524984151,0.043478261,0,0.041666667,87.5,50,0,45.83333333,1
33.33333333,7.407407407,11.11111111,3.703703704,7.407407407,0.965023011,0,0,0.222222222,0.482511506,1.930046022,0.482511506,0.482511506,22.22222222,0.965023011,3.703703704,3.703703704,22.22222222,0.482511506,51.85185185,0,25.92592593,0,0,0.230769231,0.965023011,3.703703704,0.074074074,11.11111111,3.703703704,51.85185185,0,11.11111111,0.965023011,0.482511506,0,0,0.074074074,85.18518519,74.07407407,0.037037037,59.25925926,1
30.76923077,7.692307692,19.23076923,3.846153846,7.692307692,0,1.13598668,0,0.230769231,0,0.56799334,0.56799334,0,3.846153846,1.13598668,11.53846154,11.53846154,3.846153846,1.13598668,46.15384615,1.13598668,34.61538462,0,0.56799334,0.16,1.13598668,7.692307692,0,19.23076923,3.846153846,46.15384615,0.215384615,3.846153846,0,1.13598668,0,0,0.076923077,80.76923077,76.92307692,0,26.92307692,1
14.81481481,3.703703704,22.22222222,7.407407407,3.703703704,0,0,0,0.185185185,0,1.713309973,0.571103324,0,7.407407407,2.284413297,22.22222222,22.22222222,7.407407407,1.142206649,48.14814815,0,14.81481481,0,1.713309973,0.269230769,1.142206649,3.703703704,0,22.22222222,7.407407407,48.14814815,0,7.407407407,0,1.142206649,0,0,0.074074074,81.48148148,81.48148148,0,62.96296296,1
14.81481481,3.703703704,22.22222222,7.407407407,3.703703704,0,0,0,0.222222222,0,1.172570026,0.586285013,0.586285013,7.407407407,2.345140052,22.22222222,22.22222222,7.407407407,1.172570026,48.14814815,0,22.22222222,0,1.172570026,0.192307692,1.172570026,3.703703704,0,22.22222222,7.407407407,48.14814815,0,7.407407407,0.586285013,1.172570026,0,0,0.074074074,81.48148148,81.48148148,0.037037037,55.55555556,1
22.58064516,3.225806452,16.12903226,6.451612903,3.225806452,0.490430923,1.471292769,0,0.096774194,1.471292769,0,0,0,6.451612903,1.961723693,51.61290323,51.61290323,6.451612903,0.490430923,0,0.980861846,45.16129032,0.033333333,0,0.2,0,3.225806452,0.032258065,16.12903226,6.451612903,0,0.087096774,6.451612903,0.980861846,0.490430923,0,0,0,87.09677419,51.61290323,0,90.32258065,1
3.225806452,6.451612903,12.90322581,3.225806452,19.35483871,0,1.095738775,0,0.225806452,0,1.643608162,0,0,3.225806452,2.19147755,12.90322581,12.90322581,3.225806452,0,0,0.547869387,29.03225806,0,1.095738775,0.333333333,0.547869387,19.35483871,0,12.90322581,3.225806452,0,0.020430108,6.451612903,0,0,0,0,0.032258065,87.09677419,67.74193548,0,54.83870968,1
9.375,6.25,3.125,3.125,3.125,0,2.526983641,0,0.09375,0.63174591,0.63174591,0.63174591,0,9.375,1.895237731,12.5,12.5,9.375,0.63174591,12.5,0.63174591,34.375,0,0.63174591,0.193548387,0.63174591,6.25,0,3.125,9.375,12.5,0.134072581,3.125,1.26349182,0,0,0,0.03125,93.75,65.625,0,84.375,1
5.882352941,17.64705882,2.941176471,2.941176471,35.29411765,0,1.311654788,0,0.205882353,0.655827394,0.655827394,0,1.311654788,5.882352941,2.623309576,2.941176471,2.941176471,5.882352941,0,0,1.311654788,32.35294118,0,1.967482182,0.333333333,0.655827394,35.29411765,0,2.941176471,8.823529412,0,0,2.941176471,0,1.311654788,0,0,0.029411765,94.11764706,61.76470588,0.058823529,64.70588235,1
2.941176471,5.882352941,17.64705882,2.941176471,20.58823529,1.018808943,1.018808943,0,0.205882353,0.509404472,1.018808943,0,0,2.941176471,1.018808943,17.64705882,11.76470588,2.941176471,0.509404472,0,2.037617887,47.05882353,0,0.509404472,0.121212121,0.509404472,20.58823529,0.058823529,2.941176471,8.823529412,0,0.160427807,5.882352941,1.018808943,0,0,0,0.029411765,91.17647059,67.64705882,0,82.35294118,1
2.777777778,27.77777778,8.333333333,2.777777778,47.22222222,0,2.076016552,1.384011035,0.138888889,2.076016552,2.768022069,0,0,2.777777778,2.768022069,11.11111111,8.333333333,2.777777778,0.692005517,33.33333333,2.076016552,19.44444444,0,1.384011035,0.4,2.768022069,5.555555556,0,8.333333333,2.777777778,5.555555556,0.018253968,8.333333333,0.692005517,0,0,0,0.111111111,97.22222222,69.44444444,0,33.33333333,1
5.555555556,2.777777778,19.44444444,5.555555556,2.777777778,0.511408879,0.511408879,0,0.111111111,0,1.534226636,0,0,11.11111111,1.534226636,13.88888889,13.88888889,5.555555556,0.511408879,0,1.534226636,30.55555556,0,0,0.342857143,1.534226636,2.777777778,0.027777778,5.555555556,11.11111111,0,0,11.11111111,0.511408879,0.511408879,0.028571429,0,0.083333333,80.55555556,61.11111111,0,55.55555556,1
2.702702703,13.51351351,10.81081081,2.702702703,32.43243243,0,2.471999396,0.617999849,0.108108108,1.235999698,3.089999245,0.617999849,0.617999849,2.702702703,3.707999095,10.81081081,8.108108108,2.702702703,0.617999849,64.86486486,3.089999245,40.54054054,0.027777778,0,0.305555556,0,35.13513514,0,5.405405405,2.702702703,35.13513514,0.075825826,10.81081081,0,1.235999698,0,0,0,67.56756757,67.56756757,0.027027027,81.08108108,1
5.405405405,2.702702703,18.91891892,5.405405405,2.702702703,0.501370186,0.501370186,0,0.135135135,0,1.504110557,0.501370186,0,10.81081081,1.504110557,13.51351351,13.51351351,5.405405405,1.002740371,54.05405405,1.504110557,27.02702703,0,0,0.305555556,2.005480743,2.702702703,0.027027027,5.405405405,10.81081081,54.05405405,0.071321321,10.81081081,0,1.002740371,0.055555556,0,0.108108108,91.89189189,70.27027027,0,75.67567568,1
2.702702703,21.62162162,18.91891892,2.702702703,8.108108108,0,1.024419245,1.024419245,0.081081081,0.512209623,1.536628868,1.024419245,0,2.702702703,2.048838491,13.51351351,13.51351351,2.702702703,0,91.89189189,0.512209623,27.02702703,0,1.024419245,0.305555556,1.536628868,13.51351351,0,2.702702703,5.405405405,59.45945946,0.078078078,10.81081081,0,0.512209623,0.027777778,0,0.081081081,97.2972973,64.86486486,0,67.56756757,1
43.24324324,5.405405405,5.405405405,2.702702703,10.81081081,1.107278797,1.660918195,0,0.081081081,0,0.553639398,0,0,2.702702703,0.553639398,5.405405405,5.405405405,2.702702703,0.553639398,0,3.32183639,43.24324324,0,0.553639398,0.138888889,0.553639398,10.81081081,0.054054054,18.91891892,2.702702703,0,0.231981982,2.702702703,2.214557593,0,0,0,0.027027027,91.89189189,72.97297297,0,89.18918919,1
